LECROYWR104Xi-A,26993,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,13-Jul-2015 13:28:13,0                 
Time,Ampl
5.1574e-006,-0.000144434
5.1576e-006,-0.000142449
5.1578e-006,-0.000136741
5.158e-006,-0.000133515
5.1582e-006,-0.000132026
5.1584e-006,-0.000127559
5.1586e-006,-0.000118128
5.1588e-006,-0.000108698
5.159e-006,-0.000106712
5.1592e-006,-0.00010969
5.1594e-006,-0.000110187
5.1596e-006,-0.000110187
5.1598e-006,-0.000114157
5.16e-006,-0.000116887
5.1602e-006,-0.000114406
5.1604e-006,-0.000110931
5.1606e-006,-0.000108201
5.1608e-006,-0.000107209
5.161e-006,-0.000107705
5.1612e-006,-0.000103983
5.1614e-006,-9.92674e-005
5.1616e-006,-9.80265e-005
5.1618e-006,-9.55448e-005
5.162e-006,-9.4304e-005
5.1622e-006,-9.95155e-005
5.1624e-006,-0.000103734
5.1626e-006,-0.000101253
5.1628e-006,-9.8771e-005
5.163e-006,-0.000100508
5.1632e-006,-0.000104231
5.1634e-006,-0.000108201
5.1636e-006,-0.000107705
5.1638e-006,-0.000103486
5.164e-006,-0.000101749
5.1642e-006,-9.95155e-005
5.1644e-006,-9.35595e-005
5.1646e-006,-9.08296e-005
5.1648e-006,-8.9837e-005
5.165e-006,-8.13992e-005
5.1652e-006,-7.2217e-005
5.1654e-006,-7.09762e-005
5.1656e-006,-7.24652e-005
5.1658e-006,-6.94872e-005
5.166e-006,-6.40275e-005
5.1662e-006,-6.25385e-005
5.1664e-006,-6.45238e-005
5.1666e-006,-6.60128e-005
5.1668e-006,-6.4772e-005
5.167e-006,-5.98086e-005
5.1672e-006,-5.55897e-005
5.1674e-006,-5.95604e-005
5.1676e-006,-6.65091e-005
5.1678e-006,-6.87427e-005
5.168e-006,-7.0728e-005
5.1682e-006,-7.5195e-005
5.1684e-006,-7.61877e-005
5.1686e-006,-7.3706e-005
5.1688e-006,-7.02317e-005
5.169e-006,-6.65091e-005
5.1692e-006,-6.67573e-005
5.1694e-006,-6.97353e-005
5.1696e-006,-7.27134e-005
5.1698e-006,-7.86694e-005
5.17e-006,-8.38809e-005
5.1702e-006,-7.94139e-005
5.1704e-006,-7.09762e-005
5.1706e-006,-6.94872e-005
5.1708e-006,-7.46987e-005
5.171e-006,-8.04066e-005
5.1712e-006,-8.23919e-005
5.1714e-006,-8.06547e-005
5.1716e-006,-8.09029e-005
5.1718e-006,-8.56181e-005
